"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"Zm00001d004006",1,0,1,0
"Zm00001d004009",1,1,0,0
"Zm00001d004015",0,1,0,0
"Zm00001d004020",0,0,0,1
"Zm00001d004022",0,1,0,0
"Zm00001d004023",0,0,0,1
"Zm00001d004033",0,1,0,1
"Zm00001d004052",1,1,0,0
"Zm00001d004086",0,0,1,0
"Zm00001d004088",1,0,1,1
"Zm00001d004090",0,1,0,1
"Zm00001d004095",0,1,0,1
"Zm00001d004099",0,0,0,1
"Zm00001d004102",0,1,1,0
"Zm00001d004115",0,0,0,1
"Zm00001d004119",0,1,0,1
"Zm00001d004127",0,0,1,0
"Zm00001d004132",1,1,0,0
"Zm00001d004133",0,1,1,0
"Zm00001d004136",1,0,0,0
"Zm00001d004137",0,0,0,1
"Zm00001d004138",1,0,1,1
"Zm00001d004169",0,1,0,0
"Zm00001d004176",0,0,0,1
"Zm00001d004196",1,0,0,0
"Zm00001d004203",0,1,0,0
"Zm00001d004209",1,1,0,1
"Zm00001d004232",0,0,0,1
"Zm00001d004243",1,0,1,1
"Zm00001d004301",0,0,0,1
"Zm00001d004306",0,0,0,1
"Zm00001d004308",0,0,0,1
"Zm00001d004310",0,0,0,1
"Zm00001d004322",1,1,0,1
"Zm00001d004325",0,1,1,1
"Zm00001d004326",0,1,0,1
"Zm00001d004332",0,1,1,1
"Zm00001d004333",0,0,0,1
"Zm00001d004335",1,1,0,0
"Zm00001d004339",0,1,0,0
"Zm00001d004340",1,1,0,0
"Zm00001d004342",0,1,1,0
"Zm00001d004344",1,1,0,0
"Zm00001d004348",0,1,1,1
"Zm00001d004354",1,1,0,0
"Zm00001d004357",0,0,1,1
"Zm00001d004375",0,0,0,1
"Zm00001d004380",1,1,0,1
"Zm00001d004392",0,1,0,0
"Zm00001d004396",0,0,0,1
"Zm00001d004401",0,1,1,0
"Zm00001d004410",0,1,0,1
"Zm00001d004413",0,1,0,0
"Zm00001d004414",1,1,0,0
"Zm00001d004417",0,0,0,1
"Zm00001d004434",0,0,1,1
"Zm00001d004437",0,0,0,1
"Zm00001d004438",0,0,0,1
"Zm00001d004443",0,1,0,0
"Zm00001d004460",0,0,0,1
"Zm00001d004463",1,1,0,1
"Zm00001d004468",0,0,0,1
"Zm00001d004472",0,0,0,1
"Zm00001d004480",0,0,0,1
"Zm00001d004482",0,0,0,1
"Zm00001d004486",0,0,0,1
"Zm00001d004497",0,0,0,1
"Zm00001d004502",0,0,0,1
